yields.id,genus,species,lat,lon,fertilizer_n,planting_date,planting_density,year,yield,irrigated
971,Miscanthus,Miscanthus x giganteus,37.86,32.48,0,1999,10000,1999,1.495,TRUE
972,Miscanthus,Miscanthus x giganteus,37.86,32.48,50,1999,10000,1999,1.573,TRUE
973,Miscanthus,Miscanthus x giganteus,37.86,32.48,100,1999,10000,1999,1.644,TRUE
974,Miscanthus,Miscanthus x giganteus,37.86,32.48,150,1999,10000,1999,1.508,TRUE
975,Miscanthus,Miscanthus x giganteus,37.86,32.48,200,1999,10000,1999,1.56,TRUE
976,Miscanthus,Miscanthus x giganteus,37.86,32.48,0,1999,10000,2000,6.56,TRUE
977,Miscanthus,Miscanthus x giganteus,37.86,32.48,50,1999,10000,2000,7.04,TRUE
978,Miscanthus,Miscanthus x giganteus,37.86,32.48,100,1999,10000,2000,7.17,TRUE
979,Miscanthus,Miscanthus x giganteus,37.86,32.48,150,1999,10000,2000,6.58,TRUE
980,Miscanthus,Miscanthus x giganteus,37.86,32.48,200,1999,10000,2000,6.9,TRUE
981,Miscanthus,Miscanthus x giganteus,37.86,32.48,0,1999,10000,2001,12.01,TRUE
982,Miscanthus,Miscanthus x giganteus,37.86,32.48,50,1999,10000,2001,12.91,TRUE
983,Miscanthus,Miscanthus x giganteus,37.86,32.48,100,1999,10000,2001,13.19,TRUE
984,Miscanthus,Miscanthus x giganteus,37.86,32.48,150,1999,10000,2001,12.15,TRUE
985,Miscanthus,Miscanthus x giganteus,37.86,32.48,200,1999,10000,2001,12.08,TRUE
1076,Miscanthus,Miscanthus x giganteus,52.47,-8.15,120,1990,20000,1994,19,FALSE
1077,Miscanthus,Miscanthus x giganteus,52.47,-8.15,120,1990,20000,1994,13.5,FALSE
1078,Miscanthus,Miscanthus x giganteus,52.47,-8.15,120,1990,20000,1994,15.2,FALSE
16867,Miscanthus,Miscanthus x giganteus,52.26,10.52,120,1993,40000,1994,1.7,FALSE
16868,Miscanthus,Miscanthus x giganteus,52.26,10.52,120,1993,40000,1994,1.5,FALSE
16869,Miscanthus,Miscanthus x giganteus,52.26,10.52,120,1993,40000,1995,2.6,FALSE
16870,Miscanthus,Miscanthus x giganteus,52.21,6.84,60,1993,40000,1995,4.8,FALSE
16871,Miscanthus,Miscanthus x giganteus,52.21,6.84,60,1993,40000,1996,14.6,FALSE
16872,Miscanthus,Miscanthus x giganteus,38.03,23.94,60,1993,40000,1995,26.3,TRUE
16873,Miscanthus,Miscanthus x giganteus,38.03,23.94,60,1993,40000,1996,26.3,TRUE
16874,Miscanthus,Miscanthus x giganteus,40.18,16.57,60,1993,40000,1994,2.9,FALSE
16875,Miscanthus,Miscanthus x giganteus,40.18,16.57,60,1993,40000,1995,8.6,FALSE
16876,Miscanthus,Miscanthus x giganteus,40.18,16.57,60,1993,40000,1996,17.4,FALSE
16877,Miscanthus,Miscanthus x giganteus,40.18,16.57,60,1993,40000,1997,13.5,FALSE
16878,Miscanthus,Miscanthus x giganteus,44.17,11.09,60,1993,40000,1994,6,TRUE
16879,Miscanthus,Miscanthus x giganteus,44.17,11.09,60,1993,40000,1995,16.7,TRUE
16880,Miscanthus,Miscanthus x giganteus,44.17,11.09,60,1993,40000,1996,19.1,TRUE
16881,Miscanthus,Miscanthus x giganteus,44.17,11.09,60,1993,40000,1997,19.7,TRUE
16882,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1994,4.2,FALSE
16883,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1995,11.8,FALSE
16884,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1996,18.3,FALSE
16885,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1997,21.5,FALSE
16886,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1998,22,FALSE
16887,Miscanthus,Miscanthus x giganteus,53.66,10.28,120,1993,40000,1999,26.2,FALSE
16888,Miscanthus,Miscanthus x giganteus,53.33,-6.23,120,1993,40000,1994,1,FALSE
16889,Miscanthus,Miscanthus x giganteus,53.33,-6.23,120,1993,40000,1995,5,FALSE
16890,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,1995,1.98,FALSE
16891,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,1996,9.13,FALSE
16892,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,1997,5.57,FALSE
16893,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,1998,9.21,FALSE
16894,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,1999,10.05,FALSE
16895,Miscanthus,Miscanthus x giganteus,50.13,8.86,120,1993,40000,2000,11.13,FALSE
16896,Miscanthus,Miscanthus x giganteus,50.85,4.35,120,1993,40000,1994,2.8,FALSE
16897,Miscanthus,Miscanthus x giganteus,50.85,4.35,120,1993,40000,1995,5.2,FALSE
16898,Miscanthus,Miscanthus x giganteus,50.85,4.35,120,1993,40000,1996,16.1,FALSE
16899,Miscanthus,Miscanthus x giganteus,50.85,4.35,120,1993,40000,1997,15,FALSE
16900,Miscanthus,Miscanthus x giganteus,53.34,-6.25,120,1993,40000,1995,5.3,FALSE
16901,Miscanthus,Miscanthus x giganteus,53.34,-6.25,120,1993,40000,1996,7.7,FALSE
16902,Miscanthus,Miscanthus x giganteus,53.34,-6.25,120,1993,40000,1997,8.4,FALSE
16903,Miscanthus,Miscanthus x giganteus,53.34,-6.25,120,1993,40000,1998,13.6,FALSE
16904,Miscanthus,Miscanthus x giganteus,53.34,-6.25,120,1993,40000,1999,14,FALSE
16905,Miscanthus,Miscanthus x giganteus,42.88,-8.54,120,1993,40000,1994,5,TRUE
16906,Miscanthus,Miscanthus x giganteus,42.88,-8.54,60,1993,40000,1995,13.6,TRUE
16907,Miscanthus,Miscanthus x giganteus,42.88,-8.54,120,1993,40000,1996,22.5,TRUE
16908,Miscanthus,Miscanthus x giganteus,45.46,9.18,120,1993,40000,1994,4.9,FALSE
16909,Miscanthus,Miscanthus x giganteus,45.46,9.18,120,1993,40000,1995,32.4,FALSE
16910,Miscanthus,Miscanthus x giganteus,45.46,9.18,120,1993,40000,1996,26.8,FALSE
16911,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1994,4.1,FALSE
16912,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1995,11.6,FALSE
16913,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1996,14.4,FALSE
16914,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1994,4.9,FALSE
16915,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1995,15,FALSE
16916,Miscanthus,Miscanthus x giganteus,52.42,0.11,120,1993,40000,1996,13.4,FALSE
16917,Miscanthus,Miscanthus x giganteus,51.81,-0.36,120,1993,40000,1994,1.9,FALSE
16918,Miscanthus,Miscanthus x giganteus,51.81,-0.36,120,1993,40000,1995,8.4,FALSE
16919,Miscanthus,Miscanthus x giganteus,51.81,-0.36,120,1993,40000,1996,11,FALSE
16920,Miscanthus,Miscanthus x giganteus,51.81,-0.36,120,1993,40000,1997,12.2,FALSE
16921,Miscanthus,Miscanthus x giganteus,51.89,0.9,120,1993,40000,1994,8.9,FALSE
16922,Miscanthus,Miscanthus x giganteus,51.89,0.9,120,1993,40000,1995,16.5,FALSE
16923,Miscanthus,Miscanthus x giganteus,51.89,0.9,120,1993,40000,1996,16.6,FALSE
16924,Miscanthus,Miscanthus x giganteus,38.73,-9.16,120,1993,40000,1995,2.7,TRUE
16925,Miscanthus,Miscanthus x giganteus,38.73,-9.16,120,1993,40000,1996,3.1,TRUE
16926,Miscanthus,Miscanthus x giganteus,38.73,-9.16,120,1993,40000,1997,24.3,TRUE
16927,Miscanthus,Miscanthus x giganteus,38.73,-9.16,120,1993,40000,1998,25.1,TRUE
16928,Miscanthus,Miscanthus x giganteus,38.73,-9.16,120,1993,40000,1999,24,TRUE
