"yields.id","genus","species","sitename","lat","lon","fertilizer_n","irrigated","planting_year","year","stand_age","planting_density","yield","sacchariflorus","sinensis","sinensis.Hybrid","giganteus"
971,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,0,TRUE,1999,"1999",0,10000,1.495,FALSE,FALSE,FALSE,TRUE
972,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,50,TRUE,1999,"1999",0,10000,1.573,FALSE,FALSE,FALSE,TRUE
973,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,100,TRUE,1999,"1999",0,10000,1.644,FALSE,FALSE,FALSE,TRUE
974,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,150,TRUE,1999,"1999",0,10000,1.508,FALSE,FALSE,FALSE,TRUE
975,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,200,TRUE,1999,"1999",0,10000,1.56,FALSE,FALSE,FALSE,TRUE
976,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,0,TRUE,1999,"2000",1,10000,6.56,FALSE,FALSE,FALSE,TRUE
977,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,50,TRUE,1999,"2000",1,10000,7.04,FALSE,FALSE,FALSE,TRUE
978,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,100,TRUE,1999,"2000",1,10000,7.17,FALSE,FALSE,FALSE,TRUE
979,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,150,TRUE,1999,"2000",1,10000,6.58,FALSE,FALSE,FALSE,TRUE
980,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,200,TRUE,1999,"2000",1,10000,6.9,FALSE,FALSE,FALSE,TRUE
981,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,0,TRUE,1999,"2001",2,10000,12.01,FALSE,FALSE,FALSE,TRUE
982,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,50,TRUE,1999,"2001",2,10000,12.91,FALSE,FALSE,FALSE,TRUE
983,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,100,TRUE,1999,"2001",2,10000,13.19,FALSE,FALSE,FALSE,TRUE
984,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,150,TRUE,1999,"2001",2,10000,12.15,FALSE,FALSE,FALSE,TRUE
985,"Miscanthus","Miscanthus x giganteus","Selcuk University",37.86,32.48,200,TRUE,1999,"2001",2,10000,12.08,FALSE,FALSE,FALSE,TRUE
1076,"Miscanthus","Miscanthus x giganteus","Tipperary",52.47,-8.15,120,FALSE,1990,"1994",4,20000,19,FALSE,FALSE,FALSE,TRUE
1077,"Miscanthus","Miscanthus x giganteus","Tipperary",52.47,-8.15,120,FALSE,1990,"1994",4,20000,13.5,FALSE,FALSE,FALSE,TRUE
1078,"Miscanthus","Miscanthus x giganteus","Tipperary",52.47,-8.15,120,FALSE,1990,"1994",4,20000,15.2,FALSE,FALSE,FALSE,TRUE
16867,"Miscanthus","Miscanthus x giganteus","Institute of Forest Genetics (BFH)",52.26,10.52,120,FALSE,1993,"1994",1,40000,1.7,FALSE,FALSE,FALSE,TRUE
16868,"Miscanthus","Miscanthus x giganteus","Institute of Forest Genetics (BFH)",52.26,10.52,120,FALSE,1993,"1994",1,40000,1.5,FALSE,FALSE,FALSE,TRUE
16869,"Miscanthus","Miscanthus x giganteus","Institute of Forest Genetics (BFH)",52.26,10.52,120,FALSE,1993,"1995",2,40000,2.6,FALSE,FALSE,FALSE,TRUE
16870,"Miscanthus","Miscanthus x giganteus","Biomass Technology Group (BTG)",52.21,6.84,60,FALSE,1993,"1995",2,40000,4.8,FALSE,FALSE,FALSE,TRUE
16871,"Miscanthus","Miscanthus x giganteus","Biomass Technology Group (BTG)",52.21,6.84,60,FALSE,1993,"1996",3,40000,14.6,FALSE,FALSE,FALSE,TRUE
16872,"Miscanthus","Miscanthus x giganteus","Center of Renewable Energy Sources (CRES)",38.03,23.94,60,TRUE,1993,"1995",2,40000,26.3,FALSE,FALSE,FALSE,TRUE
16873,"Miscanthus","Miscanthus x giganteus","Center of Renewable Energy Sources (CRES)",38.03,23.94,60,TRUE,1993,"1996",3,40000,26.3,FALSE,FALSE,FALSE,TRUE
16874,"Miscanthus","Miscanthus x giganteus","ENEA-A Tresaia",40.18,16.57,60,FALSE,1993,"1994",1,40000,2.9,FALSE,FALSE,FALSE,TRUE
16875,"Miscanthus","Miscanthus x giganteus","ENEA-A Tresaia",40.18,16.57,60,FALSE,1993,"1995",2,40000,8.6,FALSE,FALSE,FALSE,TRUE
16876,"Miscanthus","Miscanthus x giganteus","ENEA-A Tresaia",40.18,16.57,60,FALSE,1993,"1996",3,40000,17.4,FALSE,FALSE,FALSE,TRUE
16877,"Miscanthus","Miscanthus x giganteus","ENEA-A Tresaia",40.18,16.57,60,FALSE,1993,"1997",4,40000,13.5,FALSE,FALSE,FALSE,TRUE
